date,annee,zone,nom_jour_ferie
2002-01-01,2002,Saint-Pierre-et-Miquelon,1er janvier
2002-04-01,2002,Saint-Pierre-et-Miquelon,Lundi de Pâques
2002-05-01,2002,Saint-Pierre-et-Miquelon,1er mai
2002-05-08,2002,Saint-Pierre-et-Miquelon,8 mai
2002-05-09,2002,Saint-Pierre-et-Miquelon,Ascension
2002-05-20,2002,Saint-Pierre-et-Miquelon,Lundi de Pentecôte
2002-07-14,2002,Saint-Pierre-et-Miquelon,14 juillet
2002-08-15,2002,Saint-Pierre-et-Miquelon,Assomption
2002-11-01,2002,Saint-Pierre-et-Miquelon,Toussaint
2002-11-11,2002,Saint-Pierre-et-Miquelon,11 novembre
2002-12-25,2002,Saint-Pierre-et-Miquelon,Jour de Noël
2003-01-01,2003,Saint-Pierre-et-Miquelon,1er janvier
2003-04-21,2003,Saint-Pierre-et-Miquelon,Lundi de Pâques
2003-05-01,2003,Saint-Pierre-et-Miquelon,1er mai
2003-05-08,2003,Saint-Pierre-et-Miquelon,8 mai
2003-05-29,2003,Saint-Pierre-et-Miquelon,Ascension
2003-06-09,2003,Saint-Pierre-et-Miquelon,Lundi de Pentecôte
2003-07-14,2003,Saint-Pierre-et-Miquelon,14 juillet
2003-08-15,2003,Saint-Pierre-et-Miquelon,Assomption
2003-11-01,2003,Saint-Pierre-et-Miquelon,Toussaint
2003-11-11,2003,Saint-Pierre-et-Miquelon,11 novembre
2003-12-25,2003,Saint-Pierre-et-Miquelon,Jour de Noël
2004-01-01,2004,Saint-Pierre-et-Miquelon,1er janvier
2004-04-12,2004,Saint-Pierre-et-Miquelon,Lundi de Pâques
2004-05-01,2004,Saint-Pierre-et-Miquelon,1er mai
2004-05-08,2004,Saint-Pierre-et-Miquelon,8 mai
2004-05-20,2004,Saint-Pierre-et-Miquelon,Ascension
2004-05-31,2004,Saint-Pierre-et-Miquelon,Lundi de Pentecôte
2004-07-14,2004,Saint-Pierre-et-Miquelon,14 juillet
2004-08-15,2004,Saint-Pierre-et-Miquelon,Assomption
2004-11-01,2004,Saint-Pierre-et-Miquelon,Toussaint
2004-11-11,2004,Saint-Pierre-et-Miquelon,11 novembre
2004-12-25,2004,Saint-Pierre-et-Miquelon,Jour de Noël
2005-01-01,2005,Saint-Pierre-et-Miquelon,1er janvier
2005-03-28,2005,Saint-Pierre-et-Miquelon,Lundi de Pâques
2005-05-01,2005,Saint-Pierre-et-Miquelon,1er mai
2005-05-05,2005,Saint-Pierre-et-Miquelon,Ascension
2005-05-08,2005,Saint-Pierre-et-Miquelon,8 mai
2005-05-16,2005,Saint-Pierre-et-Miquelon,Lundi de Pentecôte
2005-07-14,2005,Saint-Pierre-et-Miquelon,14 juillet
2005-08-15,2005,Saint-Pierre-et-Miquelon,Assomption
2005-11-01,2005,Saint-Pierre-et-Miquelon,Toussaint
2005-11-11,2005,Saint-Pierre-et-Miquelon,11 novembre
2005-12-25,2005,Saint-Pierre-et-Miquelon,Jour de Noël
2006-01-01,2006,Saint-Pierre-et-Miquelon,1er janvier
2006-04-17,2006,Saint-Pierre-et-Miquelon,Lundi de Pâques
2006-05-01,2006,Saint-Pierre-et-Miquelon,1er mai
2006-05-08,2006,Saint-Pierre-et-Miquelon,8 mai
2006-05-25,2006,Saint-Pierre-et-Miquelon,Ascension
2006-06-05,2006,Saint-Pierre-et-Miquelon,Lundi de Pentecôte
2006-07-14,2006,Saint-Pierre-et-Miquelon,14 juillet
2006-08-15,2006,Saint-Pierre-et-Miquelon,Assomption
2006-11-01,2006,Saint-Pierre-et-Miquelon,Toussaint
2006-11-11,2006,Saint-Pierre-et-Miquelon,11 novembre
2006-12-25,2006,Saint-Pierre-et-Miquelon,Jour de Noël
2007-01-01,2007,Saint-Pierre-et-Miquelon,1er janvier
2007-04-09,2007,Saint-Pierre-et-Miquelon,Lundi de Pâques
2007-05-01,2007,Saint-Pierre-et-Miquelon,1er mai
2007-05-08,2007,Saint-Pierre-et-Miquelon,8 mai
2007-05-17,2007,Saint-Pierre-et-Miquelon,Ascension
2007-05-28,2007,Saint-Pierre-et-Miquelon,Lundi de Pentecôte
2007-07-14,2007,Saint-Pierre-et-Miquelon,14 juillet
2007-08-15,2007,Saint-Pierre-et-Miquelon,Assomption
2007-11-01,2007,Saint-Pierre-et-Miquelon,Toussaint
2007-11-11,2007,Saint-Pierre-et-Miquelon,11 novembre
2007-12-25,2007,Saint-Pierre-et-Miquelon,Jour de Noël
2008-01-01,2008,Saint-Pierre-et-Miquelon,1er janvier
2008-03-24,2008,Saint-Pierre-et-Miquelon,Lundi de Pâques
2008-05-01,2008,Saint-Pierre-et-Miquelon,1er mai
2008-05-01,2008,Saint-Pierre-et-Miquelon,Ascension
2008-05-08,2008,Saint-Pierre-et-Miquelon,8 mai
2008-05-12,2008,Saint-Pierre-et-Miquelon,Lundi de Pentecôte
2008-07-14,2008,Saint-Pierre-et-Miquelon,14 juillet
2008-08-15,2008,Saint-Pierre-et-Miquelon,Assomption
2008-11-01,2008,Saint-Pierre-et-Miquelon,Toussaint
2008-11-11,2008,Saint-Pierre-et-Miquelon,11 novembre
2008-12-25,2008,Saint-Pierre-et-Miquelon,Jour de Noël
2009-01-01,2009,Saint-Pierre-et-Miquelon,1er janvier
2009-04-13,2009,Saint-Pierre-et-Miquelon,Lundi de Pâques
2009-05-01,2009,Saint-Pierre-et-Miquelon,1er mai
2009-05-08,2009,Saint-Pierre-et-Miquelon,8 mai
2009-05-21,2009,Saint-Pierre-et-Miquelon,Ascension
2009-06-01,2009,Saint-Pierre-et-Miquelon,Lundi de Pentecôte
2009-07-14,2009,Saint-Pierre-et-Miquelon,14 juillet
2009-08-15,2009,Saint-Pierre-et-Miquelon,Assomption
2009-11-01,2009,Saint-Pierre-et-Miquelon,Toussaint
2009-11-11,2009,Saint-Pierre-et-Miquelon,11 novembre
2009-12-25,2009,Saint-Pierre-et-Miquelon,Jour de Noël
2010-01-01,2010,Saint-Pierre-et-Miquelon,1er janvier
2010-04-05,2010,Saint-Pierre-et-Miquelon,Lundi de Pâques
2010-05-01,2010,Saint-Pierre-et-Miquelon,1er mai
2010-05-08,2010,Saint-Pierre-et-Miquelon,8 mai
2010-05-13,2010,Saint-Pierre-et-Miquelon,Ascension
2010-05-24,2010,Saint-Pierre-et-Miquelon,Lundi de Pentecôte
2010-07-14,2010,Saint-Pierre-et-Miquelon,14 juillet
2010-08-15,2010,Saint-Pierre-et-Miquelon,Assomption
2010-11-01,2010,Saint-Pierre-et-Miquelon,Toussaint
2010-11-11,2010,Saint-Pierre-et-Miquelon,11 novembre
2010-12-25,2010,Saint-Pierre-et-Miquelon,Jour de Noël
2011-01-01,2011,Saint-Pierre-et-Miquelon,1er janvier
2011-04-25,2011,Saint-Pierre-et-Miquelon,Lundi de Pâques
2011-05-01,2011,Saint-Pierre-et-Miquelon,1er mai
2011-05-08,2011,Saint-Pierre-et-Miquelon,8 mai
2011-06-02,2011,Saint-Pierre-et-Miquelon,Ascension
2011-06-13,2011,Saint-Pierre-et-Miquelon,Lundi de Pentecôte
2011-07-14,2011,Saint-Pierre-et-Miquelon,14 juillet
2011-08-15,2011,Saint-Pierre-et-Miquelon,Assomption
2011-11-01,2011,Saint-Pierre-et-Miquelon,Toussaint
2011-11-11,2011,Saint-Pierre-et-Miquelon,11 novembre
2011-12-25,2011,Saint-Pierre-et-Miquelon,Jour de Noël
2012-01-01,2012,Saint-Pierre-et-Miquelon,1er janvier
2012-04-09,2012,Saint-Pierre-et-Miquelon,Lundi de Pâques
2012-05-01,2012,Saint-Pierre-et-Miquelon,1er mai
2012-05-08,2012,Saint-Pierre-et-Miquelon,8 mai
2012-05-17,2012,Saint-Pierre-et-Miquelon,Ascension
2012-05-28,2012,Saint-Pierre-et-Miquelon,Lundi de Pentecôte
2012-07-14,2012,Saint-Pierre-et-Miquelon,14 juillet
2012-08-15,2012,Saint-Pierre-et-Miquelon,Assomption
2012-11-01,2012,Saint-Pierre-et-Miquelon,Toussaint
2012-11-11,2012,Saint-Pierre-et-Miquelon,11 novembre
2012-12-25,2012,Saint-Pierre-et-Miquelon,Jour de Noël
2013-01-01,2013,Saint-Pierre-et-Miquelon,1er janvier
2013-04-01,2013,Saint-Pierre-et-Miquelon,Lundi de Pâques
2013-05-01,2013,Saint-Pierre-et-Miquelon,1er mai
2013-05-08,2013,Saint-Pierre-et-Miquelon,8 mai
2013-05-09,2013,Saint-Pierre-et-Miquelon,Ascension
2013-05-20,2013,Saint-Pierre-et-Miquelon,Lundi de Pentecôte
2013-07-14,2013,Saint-Pierre-et-Miquelon,14 juillet
2013-08-15,2013,Saint-Pierre-et-Miquelon,Assomption
2013-11-01,2013,Saint-Pierre-et-Miquelon,Toussaint
2013-11-11,2013,Saint-Pierre-et-Miquelon,11 novembre
2013-12-25,2013,Saint-Pierre-et-Miquelon,Jour de Noël
2014-01-01,2014,Saint-Pierre-et-Miquelon,1er janvier
2014-04-21,2014,Saint-Pierre-et-Miquelon,Lundi de Pâques
2014-05-01,2014,Saint-Pierre-et-Miquelon,1er mai
2014-05-08,2014,Saint-Pierre-et-Miquelon,8 mai
2014-05-29,2014,Saint-Pierre-et-Miquelon,Ascension
2014-06-09,2014,Saint-Pierre-et-Miquelon,Lundi de Pentecôte
2014-07-14,2014,Saint-Pierre-et-Miquelon,14 juillet
