date,annee,zone,nom_jour_ferie
2009-04-13,2009,Saint-Barthélémy,Lundi de Pâques
2009-05-01,2009,Saint-Barthélémy,1er mai
2009-05-08,2009,Saint-Barthélémy,8 mai
2009-05-21,2009,Saint-Barthélémy,Ascension
2009-06-01,2009,Saint-Barthélémy,Lundi de Pentecôte
2009-07-14,2009,Saint-Barthélémy,14 juillet
2009-08-15,2009,Saint-Barthélémy,Assomption
2009-10-09,2009,Saint-Barthélémy,Abolition de l'esclavage
2009-11-01,2009,Saint-Barthélémy,Toussaint
2009-11-11,2009,Saint-Barthélémy,11 novembre
2009-12-25,2009,Saint-Barthélémy,Jour de Noël
2010-01-01,2010,Saint-Barthélémy,1er janvier
2010-04-05,2010,Saint-Barthélémy,Lundi de Pâques
2010-05-01,2010,Saint-Barthélémy,1er mai
2010-05-08,2010,Saint-Barthélémy,8 mai
2010-05-13,2010,Saint-Barthélémy,Ascension
2010-05-24,2010,Saint-Barthélémy,Lundi de Pentecôte
2010-07-14,2010,Saint-Barthélémy,14 juillet
2010-08-15,2010,Saint-Barthélémy,Assomption
2010-10-09,2010,Saint-Barthélémy,Abolition de l'esclavage
2010-11-01,2010,Saint-Barthélémy,Toussaint
2010-11-11,2010,Saint-Barthélémy,11 novembre
2010-12-25,2010,Saint-Barthélémy,Jour de Noël
2011-01-01,2011,Saint-Barthélémy,1er janvier
2011-04-25,2011,Saint-Barthélémy,Lundi de Pâques
2011-05-01,2011,Saint-Barthélémy,1er mai
2011-05-08,2011,Saint-Barthélémy,8 mai
2011-06-02,2011,Saint-Barthélémy,Ascension
2011-06-13,2011,Saint-Barthélémy,Lundi de Pentecôte
2011-07-14,2011,Saint-Barthélémy,14 juillet
2011-08-15,2011,Saint-Barthélémy,Assomption
2011-10-09,2011,Saint-Barthélémy,Abolition de l'esclavage
2011-11-01,2011,Saint-Barthélémy,Toussaint
2011-11-11,2011,Saint-Barthélémy,11 novembre
2011-12-25,2011,Saint-Barthélémy,Jour de Noël
2012-01-01,2012,Saint-Barthélémy,1er janvier
2012-04-09,2012,Saint-Barthélémy,Lundi de Pâques
2012-05-01,2012,Saint-Barthélémy,1er mai
2012-05-08,2012,Saint-Barthélémy,8 mai
2012-05-17,2012,Saint-Barthélémy,Ascension
2012-05-28,2012,Saint-Barthélémy,Lundi de Pentecôte
2012-07-14,2012,Saint-Barthélémy,14 juillet
2012-08-15,2012,Saint-Barthélémy,Assomption
