date,annee,zone,nom_jour_ferie
2002-01-01,2002,Mayotte,1er janvier
2002-04-01,2002,Mayotte,Lundi de Pâques
2002-04-27,2002,Mayotte,Abolition de l'esclavage
2002-05-01,2002,Mayotte,1er mai
2002-05-08,2002,Mayotte,8 mai
2002-05-09,2002,Mayotte,Ascension
2002-05-20,2002,Mayotte,Lundi de Pentecôte
2002-07-14,2002,Mayotte,14 juillet
2002-08-15,2002,Mayotte,Assomption
2002-11-01,2002,Mayotte,Toussaint
2002-11-11,2002,Mayotte,11 novembre
2002-12-25,2002,Mayotte,Jour de Noël
2003-01-01,2003,Mayotte,1er janvier
2003-04-21,2003,Mayotte,Lundi de Pâques
2003-04-27,2003,Mayotte,Abolition de l'esclavage
2003-05-01,2003,Mayotte,1er mai
2003-05-08,2003,Mayotte,8 mai
2003-05-29,2003,Mayotte,Ascension
2003-06-09,2003,Mayotte,Lundi de Pentecôte
2003-07-14,2003,Mayotte,14 juillet
2003-08-15,2003,Mayotte,Assomption
2003-11-01,2003,Mayotte,Toussaint
2003-11-11,2003,Mayotte,11 novembre
2003-12-25,2003,Mayotte,Jour de Noël
2004-01-01,2004,Mayotte,1er janvier
2004-04-12,2004,Mayotte,Lundi de Pâques
2004-04-27,2004,Mayotte,Abolition de l'esclavage
2004-05-01,2004,Mayotte,1er mai
2004-05-08,2004,Mayotte,8 mai
2004-05-20,2004,Mayotte,Ascension
2004-05-31,2004,Mayotte,Lundi de Pentecôte
2004-07-14,2004,Mayotte,14 juillet
2004-08-15,2004,Mayotte,Assomption
2004-11-01,2004,Mayotte,Toussaint
2004-11-11,2004,Mayotte,11 novembre
2004-12-25,2004,Mayotte,Jour de Noël
2005-01-01,2005,Mayotte,1er janvier
2005-03-28,2005,Mayotte,Lundi de Pâques
2005-04-27,2005,Mayotte,Abolition de l'esclavage
2005-05-01,2005,Mayotte,1er mai
2005-05-05,2005,Mayotte,Ascension
2005-05-08,2005,Mayotte,8 mai
2005-05-16,2005,Mayotte,Lundi de Pentecôte
2005-07-14,2005,Mayotte,14 juillet
2005-08-15,2005,Mayotte,Assomption
2005-11-01,2005,Mayotte,Toussaint
2005-11-11,2005,Mayotte,11 novembre
2005-12-25,2005,Mayotte,Jour de Noël
2006-01-01,2006,Mayotte,1er janvier
2006-04-17,2006,Mayotte,Lundi de Pâques
2006-04-27,2006,Mayotte,Abolition de l'esclavage
2006-05-01,2006,Mayotte,1er mai
2006-05-08,2006,Mayotte,8 mai
2006-05-25,2006,Mayotte,Ascension
2006-06-05,2006,Mayotte,Lundi de Pentecôte
2006-07-14,2006,Mayotte,14 juillet
2006-08-15,2006,Mayotte,Assomption
2006-11-01,2006,Mayotte,Toussaint
2006-11-11,2006,Mayotte,11 novembre
2006-12-25,2006,Mayotte,Jour de Noël
2007-01-01,2007,Mayotte,1er janvier
2007-04-09,2007,Mayotte,Lundi de Pâques
2007-04-27,2007,Mayotte,Abolition de l'esclavage
2007-05-01,2007,Mayotte,1er mai
2007-05-08,2007,Mayotte,8 mai
2007-05-17,2007,Mayotte,Ascension
2007-05-28,2007,Mayotte,Lundi de Pentecôte
2007-07-14,2007,Mayotte,14 juillet
2007-08-15,2007,Mayotte,Assomption
2007-11-01,2007,Mayotte,Toussaint
2007-11-11,2007,Mayotte,11 novembre
2007-12-25,2007,Mayotte,Jour de Noël
2008-01-01,2008,Mayotte,1er janvier
2008-03-24,2008,Mayotte,Lundi de Pâques
2008-04-27,2008,Mayotte,Abolition de l'esclavage
2008-05-01,2008,Mayotte,1er mai
2008-05-01,2008,Mayotte,Ascension
2008-05-08,2008,Mayotte,8 mai
2008-05-12,2008,Mayotte,Lundi de Pentecôte
2008-07-14,2008,Mayotte,14 juillet
2008-08-15,2008,Mayotte,Assomption
2008-11-01,2008,Mayotte,Toussaint
2008-11-11,2008,Mayotte,11 novembre
2008-12-25,2008,Mayotte,Jour de Noël
2009-01-01,2009,Mayotte,1er janvier
2009-04-13,2009,Mayotte,Lundi de Pâques
2009-04-27,2009,Mayotte,Abolition de l'esclavage
2009-05-01,2009,Mayotte,1er mai
2009-05-08,2009,Mayotte,8 mai
2009-05-21,2009,Mayotte,Ascension
2009-06-01,2009,Mayotte,Lundi de Pentecôte
2009-07-14,2009,Mayotte,14 juillet
2009-08-15,2009,Mayotte,Assomption
2009-11-01,2009,Mayotte,Toussaint
2009-11-11,2009,Mayotte,11 novembre
2009-12-25,2009,Mayotte,Jour de Noël
2010-01-01,2010,Mayotte,1er janvier
2010-04-05,2010,Mayotte,Lundi de Pâques
2010-04-27,2010,Mayotte,Abolition de l'esclavage
2010-05-01,2010,Mayotte,1er mai
2010-05-08,2010,Mayotte,8 mai
2010-05-13,2010,Mayotte,Ascension
2010-05-24,2010,Mayotte,Lundi de Pentecôte
2010-07-14,2010,Mayotte,14 juillet
2010-08-15,2010,Mayotte,Assomption
2010-11-01,2010,Mayotte,Toussaint
2010-11-11,2010,Mayotte,11 novembre
2010-12-25,2010,Mayotte,Jour de Noël
2011-01-01,2011,Mayotte,1er janvier
2011-04-25,2011,Mayotte,Lundi de Pâques
2011-04-27,2011,Mayotte,Abolition de l'esclavage
2011-05-01,2011,Mayotte,1er mai
2011-05-08,2011,Mayotte,8 mai
2011-06-02,2011,Mayotte,Ascension
2011-06-13,2011,Mayotte,Lundi de Pentecôte
2011-07-14,2011,Mayotte,14 juillet
2011-08-15,2011,Mayotte,Assomption
2011-11-01,2011,Mayotte,Toussaint
2011-11-11,2011,Mayotte,11 novembre
