date,annee,zone,nom_jour_ferie
2000-01-01,2000,Guyane,Jour de l'an
2000-04-24,2000,Guyane,Lundi de Pâques
2000-05-01,2000,Guyane,Fête du Travail
2000-05-08,2000,Guyane,Victoire des alliés
2000-06-01,2000,Guyane,Ascension
2000-06-10,2000,Guyane,Abolition de l'esclavage
2000-06-12,2000,Guyane,Lundi de Pentecôte
2000-07-14,2000,Guyane,Fête Nationale
2000-08-15,2000,Guyane,Assomption
2000-11-01,2000,Guyane,Toussaint
2000-11-11,2000,Guyane,Armistice
2000-12-25,2000,Guyane,Noël
2001-01-01,2001,Guyane,Jour de l'an
2001-04-16,2001,Guyane,Lundi de Pâques
2001-05-01,2001,Guyane,Fête du Travail
2001-05-08,2001,Guyane,Victoire des alliés
2001-05-24,2001,Guyane,Ascension
2001-06-04,2001,Guyane,Lundi de Pentecôte
2001-06-10,2001,Guyane,Abolition de l'esclavage
2001-07-14,2001,Guyane,Fête Nationale
2001-08-15,2001,Guyane,Assomption
2001-11-01,2001,Guyane,Toussaint
2001-11-11,2001,Guyane,Armistice
2001-12-25,2001,Guyane,Noël
2002-01-01,2002,Guyane,Jour de l'an
2002-04-01,2002,Guyane,Lundi de Pâques
2002-05-01,2002,Guyane,Fête du Travail
2002-05-08,2002,Guyane,Victoire des alliés
2002-05-09,2002,Guyane,Ascension
2002-05-20,2002,Guyane,Lundi de Pentecôte
2002-06-10,2002,Guyane,Abolition de l'esclavage
2002-07-14,2002,Guyane,Fête Nationale
2002-08-15,2002,Guyane,Assomption
2002-11-01,2002,Guyane,Toussaint
2002-11-11,2002,Guyane,Armistice
2002-12-25,2002,Guyane,Noël
2003-01-01,2003,Guyane,Jour de l'an
2003-04-21,2003,Guyane,Lundi de Pâques
2003-05-01,2003,Guyane,Fête du Travail
2003-05-08,2003,Guyane,Victoire des alliés
2003-05-29,2003,Guyane,Ascension
2003-06-09,2003,Guyane,Lundi de Pentecôte
2003-06-10,2003,Guyane,Abolition de l'esclavage
2003-07-14,2003,Guyane,Fête Nationale
2003-08-15,2003,Guyane,Assomption
2003-11-01,2003,Guyane,Toussaint
2003-11-11,2003,Guyane,Armistice
2003-12-25,2003,Guyane,Noël
2004-01-01,2004,Guyane,Jour de l'an
2004-04-12,2004,Guyane,Lundi de Pâques
2004-05-01,2004,Guyane,Fête du Travail
2004-05-08,2004,Guyane,Victoire des alliés
2004-05-20,2004,Guyane,Ascension
2004-05-31,2004,Guyane,Lundi de Pentecôte
2004-06-10,2004,Guyane,Abolition de l'esclavage
2004-07-14,2004,Guyane,Fête Nationale
2004-08-15,2004,Guyane,Assomption
2004-11-01,2004,Guyane,Toussaint
2004-11-11,2004,Guyane,Armistice
2004-12-25,2004,Guyane,Noël
2005-01-01,2005,Guyane,Jour de l'an
2005-03-28,2005,Guyane,Lundi de Pâques
2005-05-01,2005,Guyane,Fête du Travail
2005-05-05,2005,Guyane,Ascension
2005-05-08,2005,Guyane,Victoire des alliés
2005-05-16,2005,Guyane,Lundi de Pentecôte
2005-06-10,2005,Guyane,Abolition de l'esclavage
2005-07-14,2005,Guyane,Fête Nationale
2005-08-15,2005,Guyane,Assomption
2005-11-01,2005,Guyane,Toussaint
2005-11-11,2005,Guyane,Armistice
2005-12-25,2005,Guyane,Noël
2006-01-01,2006,Guyane,Jour de l'an
2006-04-17,2006,Guyane,Lundi de Pâques
2006-05-01,2006,Guyane,Fête du Travail
2006-05-08,2006,Guyane,Victoire des alliés
2006-05-25,2006,Guyane,Ascension
2006-06-05,2006,Guyane,Lundi de Pentecôte
2006-06-10,2006,Guyane,Abolition de l'esclavage
2006-07-14,2006,Guyane,Fête Nationale
2006-08-15,2006,Guyane,Assomption
2006-11-01,2006,Guyane,Toussaint
2006-11-11,2006,Guyane,Armistice
2006-12-25,2006,Guyane,Noël
2007-01-01,2007,Guyane,Jour de l'an
2007-04-09,2007,Guyane,Lundi de Pâques
2007-05-01,2007,Guyane,Fête du Travail
2007-05-08,2007,Guyane,Victoire des alliés
2007-05-17,2007,Guyane,Ascension
2007-05-28,2007,Guyane,Lundi de Pentecôte
2007-06-10,2007,Guyane,Abolition de l'esclavage
2007-07-14,2007,Guyane,Fête Nationale
2007-08-15,2007,Guyane,Assomption
2007-11-01,2007,Guyane,Toussaint
2007-11-11,2007,Guyane,Armistice
2007-12-25,2007,Guyane,Noël
2008-01-01,2008,Guyane,Jour de l'an
2008-03-24,2008,Guyane,Lundi de Pâques
2008-05-01,2008,Guyane,Fête du Travail
2008-05-01,2008,Guyane,Ascension
2008-05-08,2008,Guyane,Victoire des alliés
2008-05-12,2008,Guyane,Lundi de Pentecôte
2008-06-10,2008,Guyane,Abolition de l'esclavage
2008-07-14,2008,Guyane,Fête Nationale
2008-08-15,2008,Guyane,Assomption
2008-11-01,2008,Guyane,Toussaint
2008-11-11,2008,Guyane,Armistice
2008-12-25,2008,Guyane,Noël
2009-01-01,2009,Guyane,Jour de l'an
2009-04-13,2009,Guyane,Lundi de Pâques
2009-05-01,2009,Guyane,Fête du Travail
2009-05-08,2009,Guyane,Victoire des alliés
2009-05-21,2009,Guyane,Ascension
2009-06-01,2009,Guyane,Lundi de Pentecôte
2009-06-10,2009,Guyane,Abolition de l'esclavage
2009-07-14,2009,Guyane,Fête Nationale
2009-08-15,2009,Guyane,Assomption
2009-11-01,2009,Guyane,Toussaint
2009-11-11,2009,Guyane,Armistice
2009-12-25,2009,Guyane,Noël
2010-01-01,2010,Guyane,Jour de l'an
2010-04-05,2010,Guyane,Lundi de Pâques
2010-05-01,2010,Guyane,Fête du Travail
2010-05-08,2010,Guyane,Victoire des alliés
2010-05-13,2010,Guyane,Ascension
2010-05-24,2010,Guyane,Lundi de Pentecôte
2010-06-10,2010,Guyane,Abolition de l'esclavage
2010-07-14,2010,Guyane,Fête Nationale
2010-08-15,2010,Guyane,Assomption
2010-11-01,2010,Guyane,Toussaint
2010-11-11,2010,Guyane,Armistice
2010-12-25,2010,Guyane,Noël
2011-01-01,2011,Guyane,Jour de l'an
2011-04-25,2011,Guyane,Lundi de Pâques
2011-05-01,2011,Guyane,Fête du Travail
2011-05-08,2011,Guyane,Victoire des alliés
2011-06-02,2011,Guyane,Ascension
2011-06-10,2011,Guyane,Abolition de l'esclavage
2011-06-13,2011,Guyane,Lundi de Pentecôte
2011-07-14,2011,Guyane,Fête Nationale
2011-08-15,2011,Guyane,Assomption
2011-11-01,2011,Guyane,Toussaint
2011-11-11,2011,Guyane,Armistice
2011-12-25,2011,Guyane,Noël
2012-01-01,2012,Guyane,Jour de l'an
2012-04-09,2012,Guyane,Lundi de Pâques
2012-05-01,2012,Guyane,Fête du Travail
2012-05-08,2012,Guyane,Victoire des alliés
2012-05-17,2012,Guyane,Ascension
2012-05-28,2012,Guyane,Lundi de Pentecôte
2012-06-10,2012,Guyane,Abolition de l'esclavage
2012-07-14,2012,Guyane,Fête Nationale
2012-08-15,2012,Guyane,Assomption
2012-11-01,2012,Guyane,Toussaint
2012-11-11,2012,Guyane,Armistice
2012-12-25,2012,Guyane,Noël
2013-01-01,2013,Guyane,Jour de l'an
2013-04-01,2013,Guyane,Lundi de Pâques
2013-05-01,2013,Guyane,Fête du Travail
2013-05-08,2013,Guyane,Victoire des alliés
2013-05-09,2013,Guyane,Ascension
2013-05-20,2013,Guyane,Lundi de Pentecôte
2013-06-10,2013,Guyane,Abolition de l'esclavage
2013-07-14,2013,Guyane,Fête Nationale
2013-08-15,2013,Guyane,Assomption
2013-11-01,2013,Guyane,Toussaint
2013-11-11,2013,Guyane,Armistice
2013-12-25,2013,Guyane,Noël
2014-01-01,2014,Guyane,Jour de l'an
2014-04-21,2014,Guyane,Lundi de Pâques
2014-05-01,2014,Guyane,Fête du Travail
2014-05-08,2014,Guyane,Victoire des alliés
2014-05-29,2014,Guyane,Ascension
2014-06-09,2014,Guyane,Lundi de Pentecôte
2014-06-10,2014,Guyane,Abolition de l'esclavage
2014-07-14,2014,Guyane,Fête Nationale
2014-08-15,2014,Guyane,Assomption
2014-11-01,2014,Guyane,Toussaint
2014-11-11,2014,Guyane,Armistice
2014-12-25,2014,Guyane,Noël
2015-01-01,2015,Guyane,Jour de l'an
2015-04-06,2015,Guyane,Lundi de Pâques
2015-05-01,2015,Guyane,Fête du Travail
2015-05-08,2015,Guyane,Victoire des alliés
2015-05-14,2015,Guyane,Ascension
2015-05-25,2015,Guyane,Lundi de Pentecôte
2015-06-10,2015,Guyane,Abolition de l'esclavage
2015-07-14,2015,Guyane,Fête Nationale
2015-08-15,2015,Guyane,Assomption
2015-11-01,2015,Guyane,Toussaint
2015-11-11,2015,Guyane,Armistice
2015-12-25,2015,Guyane,Noël
2016-01-01,2016,Guyane,Jour de l'an
2016-03-28,2016,Guyane,Lundi de Pâques
2016-05-01,2016,Guyane,Fête du Travail
2016-05-05,2016,Guyane,Ascension
2016-05-08,2016,Guyane,Victoire des alliés
2016-05-16,2016,Guyane,Lundi de Pentecôte
2016-06-10,2016,Guyane,Abolition de l'esclavage
2016-07-14,2016,Guyane,Fête Nationale
2016-08-15,2016,Guyane,Assomption
2016-11-01,2016,Guyane,Toussaint
2016-11-11,2016,Guyane,Armistice
2016-12-25,2016,Guyane,Noël
2017-01-01,2017,Guyane,Jour de l'an
2017-04-17,2017,Guyane,Lundi de Pâques
2017-05-01,2017,Guyane,Fête du Travail
2017-05-08,2017,Guyane,Victoire des alliés
2017-05-25,2017,Guyane,Ascension
2017-06-05,2017,Guyane,Lundi de Pentecôte
2017-06-10,2017,Guyane,Abolition de l'esclavage
2017-07-14,2017,Guyane,Fête Nationale
2017-08-15,2017,Guyane,Assomption
2017-11-01,2017,Guyane,Toussaint
2017-11-11,2017,Guyane,Armistice
2017-12-25,2017,Guyane,Noël
2018-01-01,2018,Guyane,Jour de l'an
2018-04-02,2018,Guyane,Lundi de Pâques
2018-05-01,2018,Guyane,Fête du Travail
2018-05-08,2018,Guyane,Victoire des alliés
2018-05-10,2018,Guyane,Ascension
2018-05-21,2018,Guyane,Lundi de Pentecôte
2018-06-10,2018,Guyane,Abolition de l'esclavage
2018-07-14,2018,Guyane,Fête Nationale
2018-08-15,2018,Guyane,Assomption
